"subject","trial","condition","sp","value","stim","acc","value_prioritem1","value_prioritem","exp"
"530",16,"full attention",16,1,"thread",0,"10",10,1
"530",16,"full attention",17,8,"doll",1,"1",1,1
"530",16,"full attention",18,10,"thunder",1,"8",8,1
"530",16,"full attention",19,9,"ditch",1,"10",10,1
"530",16,"full attention",20,4,"stump",0,"9",9,1
"530",20,"full attention",1,1,"judge",0,NA,NA,1
"530",20,"full attention",2,8,"snail",1,"1",1,1
"530",20,"full attention",3,5,"purse",0,"8",8,1
"530",20,"full attention",4,10,"tank",1,"5",5,1
"530",20,"full attention",5,8,"skate",1,"10",10,1
"530",20,"full attention",6,4,"bone",0,"8",8,1
"530",20,"full attention",7,9,"post",1,"4",4,1
"530",20,"full attention",8,3,"lens",0,"9",9,1
"530",20,"full attention",9,4,"mayor",0,"3",3,1
"530",20,"full attention",10,5,"bill",0,"4",4,1
"530",20,"full attention",11,2,"wind",0,"5",5,1
"530",20,"full attention",12,6,"pile",0,"2",2,1
"530",20,"full attention",13,9,"sound",1,"6",6,1
"530",20,"full attention",14,10,"locker",1,"9",9,1
"530",20,"full attention",15,2,"crowd",0,"10",10,1
"530",20,"full attention",16,6,"mail",0,"2",2,1
"530",20,"full attention",17,1,"drink",0,"6",6,1
"530",20,"full attention",18,3,"page",0,"1",1,1
"530",20,"full attention",19,7,"step",0,"3",3,1
"530",20,"full attention",20,7,"fence",0,"7",7,1
"530",24,"full attention",1,9,"voter",1,NA,NA,1
"530",24,"full attention",2,2,"front",0,"9",9,1
"530",24,"full attention",3,4,"banker",0,"2",2,1
"530",24,"full attention",4,10,"sleeve",1,"4",4,1
"530",24,"full attention",5,7,"patch",1,"10",10,1
"530",24,"full attention",6,6,"tray",0,"7",7,1
"530",24,"full attention",7,5,"fiddle",0,"6",6,1
"530",24,"full attention",8,9,"hall",0,"5",5,1
"530",24,"full attention",9,3,"starch",0,"9",9,1
"530",24,"full attention",10,8,"suit",1,"3",3,1
"530",24,"full attention",11,8,"pole",1,"8",8,1
"530",24,"full attention",12,7,"tube",1,"8",8,1
"530",24,"full attention",13,6,"lumber",0,"7",7,1
"530",24,"full attention",14,4,"speck",0,"6",6,1
"530",24,"full attention",15,5,"author",0,"4",4,1
"530",24,"full attention",16,1,"fork",0,"5",5,1
"530",24,"full attention",17,2,"broom",0,"1",1,1
"530",24,"full attention",18,1,"cement",0,"2",2,1
"530",24,"full attention",19,3,"camel",1,"1",1,1
"530",24,"full attention",20,10,"pollen",0,"3",3,1
"531",6,"distracted - familiar",1,9,"tail",1,NA,NA,1
"531",6,"distracted - familiar",2,6,"lumber",1,"9",9,1
"531",6,"distracted - familiar",3,5,"oven",1,"6",6,1
"531",6,"distracted - familiar",4,3,"barrel",0,"5",5,1
"531",6,"distracted - familiar",5,3,"gate",0,"3",3,1
"531",6,"distracted - familiar",6,2,"heat",0,"3",3,1
"531",6,"distracted - familiar",7,8,"slipper",1,"2",2,1
"531",6,"distracted - familiar",8,1,"owner",0,"8",8,1
"531",6,"distracted - familiar",9,1,"button",0,"1",1,1
"531",6,"distracted - familiar",10,4,"lever",0,"1",1,1
"531",6,"distracted - familiar",11,2,"camel",0,"4",4,1
"531",6,"distracted - familiar",12,10,"device",0,"2",2,1
"531",6,"distracted - familiar",13,8,"bean",0,"10",10,1
"531",6,"distracted - familiar",14,10,"ticket",1,"8",8,1
"531",6,"distracted - familiar",15,9,"drink",1,"10",10,1
"531",6,"distracted - familiar",16,4,"pole",1,"9",9,1
